Employee_ID,Gender,Department,Education,Experience_Years,Age,Salary,Performance_Score,Work_Mode,Satisfaction_Level
1001,Male,IT,Master,13,50,67265,67,Onsite,9
1002,Female,IT,PhD,13,25,47850,99,Remote,9
1003,Male,Finance,PhD,4,33,148249,63,Remote,9
1004,Male,HR,Bachelor,1,23,96150,96,Onsite,2
1005,Male,Operations,Diploma,17,48,117312,78,Remote,3
1006,Female,Marketing,Master,8,52,119613,61,Remote,7
1007,Male,HR,PhD,2,57,104910,85,Onsite,5
1008,Male,Marketing,PhD,8,57,82375,84,Onsite,2
1009,Male,Finance,Master,7,47,65435,61,Onsite,3
1010,Female,Finance,Bachelor,2,48,126443,56,Onsite,10
1011,Male,IT,PhD,3,26,87132,78,Hybrid,6
1012,Male,Operations,Diploma,18,41,108945,60,Onsite,7
1013,Male,Marketing,PhD,12,32,112050,82,Hybrid,9
1014,Male,HR,Diploma,1,31,125402,55,Hybrid,1
1015,Female,Finance,Master,12,59,32983,96,Hybrid,7
1016,Male,IT,Diploma,5,27,127241,64,Remote,8
1017,Female,IT,Master,17,29,50662,81,Hybrid,3
1018,Female,Marketing,Diploma,16,44,53510,100,Hybrid,4
1019,Female,Finance,Master,15,47,108187,60,Remote,10
1020,Male,Operations,Diploma,15,33,70998,72,Remote,6
1021,Female,Finance,Bachelor,5,47,86846,75,Remote,10
1022,Male,Marketing,Diploma,14,34,124071,83,Onsite,7
1023,Female,Marketing,Diploma,2,39,36640,95,Remote,4
1024,Female,Finance,Bachelor,11,46,74547,83,Remote,8
1025,Female,Marketing,PhD,19,54,84620,78,Hybrid,5
1026,Female,Finance,PhD,7,33,45317,53,Remote,1
1027,Female,HR,Diploma,6,57,145608,66,Onsite,4
1028,Female,Finance,Bachelor,2,25,37564,84,Remote,3
1029,Female,Finance,Diploma,6,26,57345,62,Onsite,9
1030,Female,Marketing,Master,18,58,143824,90,Remote,8
1031,Male,Marketing,Master,2,29,124223,88,Remote,1
1032,Male,IT,Diploma,18,49,109273,64,Remote,6
1033,Female,IT,PhD,15,52,104859,78,Remote,9
1034,Female,HR,PhD,19,30,110765,78,Onsite,7
1035,Female,IT,Diploma,2,50,140017,60,Onsite,4
1036,Male,Finance,Diploma,20,35,104038,81,Hybrid,1
1037,Female,Marketing,Master,6,43,82393,51,Onsite,2
1038,Male,IT,PhD,1,32,96081,96,Remote,5
1039,Male,IT,Diploma,15,44,132650,63,Hybrid,5
1040,Male,HR,Master,10,22,59430,69,Hybrid,8
1041,Male,HR,PhD,19,58,105532,71,Hybrid,6
1042,Male,Finance,Bachelor,17,42,57788,60,Remote,8
1043,Female,Marketing,Master,5,47,125505,76,Onsite,2
1044,Female,HR,PhD,4,57,78543,52,Remote,3
1045,Female,IT,PhD,10,44,43919,66,Hybrid,6
1046,Female,Marketing,Master,17,22,99346,93,Remote,10
1047,Female,Marketing,Bachelor,10,36,126122,77,Remote,3
1048,Male,IT,Master,17,42,69974,78,Onsite,6
1049,Female,HR,PhD,20,30,137309,70,Onsite,6
1050,Female,IT,Diploma,5,30,46371,96,Hybrid,2
1051,Male,Marketing,Diploma,2,31,75084,65,Remote,7
1052,Female,Operations,Master,6,47,59629,86,Remote,2
1053,Male,Operations,PhD,2,56,81184,69,Onsite,6
1054,Female,Finance,Diploma,13,46,91916,55,Remote,1
1055,Male,IT,PhD,11,47,103972,68,Remote,3
1056,Female,IT,Master,11,32,92187,54,Remote,2
1057,Female,Finance,Diploma,16,59,42984,52,Onsite,7
1058,Male,Finance,PhD,11,23,63039,50,Hybrid,4
1059,Male,Finance,Diploma,19,28,115431,87,Hybrid,8
1060,Male,Marketing,Master,15,39,113691,64,Remote,6
1061,Male,IT,PhD,16,48,88606,83,Hybrid,10
1062,Male,Marketing,Diploma,11,55,40616,84,Onsite,4
1063,Male,Finance,Master,16,48,132665,98,Onsite,5
1064,Male,IT,Diploma,8,38,135373,74,Hybrid,9
1065,Male,Marketing,Diploma,4,45,80072,73,Hybrid,7
1066,Female,Marketing,Bachelor,8,46,54574,61,Remote,10
1067,Female,Finance,Bachelor,4,28,33430,67,Hybrid,9
1068,Male,IT,Master,3,27,149123,64,Remote,7
1069,Female,Finance,Bachelor,3,45,42676,93,Remote,1
1070,Female,IT,Master,18,54,40816,65,Onsite,8
1071,Female,Operations,Bachelor,19,50,62733,76,Onsite,4
1072,Female,HR,Diploma,19,43,115680,57,Onsite,3
1073,Male,HR,Master,5,47,32050,95,Onsite,7
1074,Female,HR,Master,18,49,139996,74,Hybrid,3
1075,Male,Finance,Diploma,10,42,63933,66,Onsite,8
1076,Female,Operations,Master,6,28,54951,78,Hybrid,6
1077,Female,IT,Master,1,38,62413,57,Onsite,5
1078,Female,Marketing,Bachelor,5,41,64801,64,Hybrid,4
1079,Male,IT,Master,9,41,85619,76,Remote,8
1080,Female,Marketing,PhD,12,43,62913,95,Hybrid,8
1081,Male,IT,Diploma,14,49,142573,99,Hybrid,1
1082,Female,Operations,Bachelor,2,28,149076,56,Onsite,9
1083,Male,Marketing,Bachelor,17,22,70600,52,Hybrid,5
1084,Female,Finance,PhD,14,53,87775,78,Remote,4
1085,Male,IT,Diploma,13,34,120816,93,Remote,6
1086,Male,IT,Diploma,9,51,120093,73,Onsite,6
1087,Female,Marketing,Bachelor,15,44,142590,52,Remote,2
1088,Male,Finance,Master,15,40,65400,69,Hybrid,8
1089,Female,Finance,Bachelor,11,53,34494,95,Remote,7
1090,Female,Operations,Diploma,16,51,110688,64,Onsite,1
1091,Female,Finance,PhD,17,50,119431,74,Hybrid,5
1092,Female,Finance,Bachelor,4,50,104691,79,Onsite,6
1093,Female,Finance,Diploma,1,51,127419,63,Hybrid,4
